Conc_10uM,,Conc_20uM,,Conc_40uM,,Conc_80uM,,Conc_160uM,,Conc_320uM,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
664.9973145,0.01686111651,664.9973145,0.01614085585,664.9973145,0.01492233295,664.9973145,0.01466553845,664.9973145,0.01560767554,664.9973145,0.01465579215
663.9783936,0.01649025641,663.9783936,0.0156430155,663.9783936,0.01511486806,663.9783936,0.01520027034,663.9783936,0.01511025801,663.9783936,0.01463051792
662.9591064,0.01653693616,662.9591064,0.0153311668,662.9591064,0.01479091775,662.9591064,0.01560061797,662.9591064,0.01457376312,662.9591064,0.01405808982
661.9395142,0.01627251878,661.9395142,0.01571510173,661.9395142,0.01464939304,661.9395142,0.01451292075,661.9395142,0.01469598245,661.9395142,0.01460786909
661.0653076,0.01718502678,661.0653076,0.01539544947,661.0653076,0.0152013693,661.0653076,0.01485522743,661.0653076,0.01454712916,661.0653076,0.01445856318
660.045105,0.01665685698,660.045105,0.01524893008,660.045105,0.01479102485,660.045105,0.01458511408,660.045105,0.01478068624,660.045105,0.01372399833
659.0246582,0.01698435843,659.0246582,0.01431653276,659.0246582,0.01495941356,659.0246582,0.01385698933,659.0246582,0.0146840401,659.0246582,0.01392335352
658.0038452,0.0159636829,658.0038452,0.01494727656,658.0038452,0.01532583032,658.0038452,0.01454860065,658.0038452,0.01441539824,658.0038452,0.01375245303
656.9827271,0.01621681266,656.9827271,0.01460773498,656.9827271,0.01431147568,656.9827271,0.01244616043,656.9827271,0.01426177099,656.9827271,0.01404686086
655.9613037,0.01624749973,655.9613037,0.01453152299,655.9613037,0.01505933702,655.9613037,0.01434144098,655.9613037,0.0141677279,655.9613037,0.01340148319
654.9395752,0.01594534144,654.9395752,0.01478896197,654.9395752,0.01436335314,654.9395752,0.01472484879,654.9395752,0.01439883374,654.9395752,0.01390303951
654.0635376,0.01573034748,654.0635376,0.0153715536,654.0635376,0.01403188799,654.0635376,0.01435505878,654.0635376,0.01451741718,654.0635376,0.01352299936
653.0412598,0.01631484926,653.0412598,0.01440964453,653.0412598,0.01444927696,653.0412598,0.01415459719,653.0412598,0.01512695663,653.0412598,0.01395959966
652.0186768,0.01600104012,652.0186768,0.01415213663,652.0186768,0.01403234247,652.0186768,0.01425898913,652.0186768,0.01405431982,652.0186768,0.01406399906
650.9957275,0.01552176382,650.9957275,0.01510840934,650.9957275,0.01448827051,650.9957275,0.01412477903,650.9957275,0.01455309801,650.9957275,0.01361778472
649.9724731,0.01606179588,649.9724731,0.01488973014,649.9724731,0.01380052324,649.9724731,0.01382564195,649.9724731,0.0142982332,649.9724731,0.01418644935
648.9489746,0.01623664424,648.9489746,0.01448128466,648.9489746,0.01407373138,648.9489746,0.01372653618,648.9489746,0.01463177614,648.9489746,0.0134455096
648.0714111,0.01570168138,648.0714111,0.01414111815,648.0714111,0.01392308623,648.0714111,0.01408675406,648.0714111,0.01397812553,648.0714111,0.0136390198
647.0473022,0.01564945653,647.0473022,0.01431663986,647.0473022,0.0141628338,647.0473022,0.01432220452,647.0473022,0.01406014897,647.0473022,0.01326924562
646.0228882,0.0160486605,646.0228882,0.01339470223,646.0228882,0.01410079189,646.0228882,0.01351397298,646.0228882,0.01444579754,646.0228882,0.01387481578
644.9981689,0.016240675,644.9981689,0.01432993636,644.9981689,0.01394035388,644.9981689,0.01355355047,644.9981689,0.01418997999,644.9981689,0.01328643318
643.9731445,0.01573074982,643.9731445,0.0144865578,643.9731445,0.01442133822,643.9731445,0.01436313987,643.9731445,0.01466958132,643.9731445,0.01361692976
642.947876,0.01545384061,642.947876,0.01455676556,642.947876,0.01411477756,642.947876,0.01343458891,642.947876,0.01447419263,642.947876,0.01338349003
642.0687866,0.01616815291,642.0687866,0.01445711777,642.0687866,0.01362689305,642.0687866,0.01413707994,642.0687866,0.01445106976,642.0687866,0.0132008465
641.0429077,0.01605822332,641.0429077,0.01534146443,641.0429077,0.01377620641,641.0429077,0.01382283587,641.0429077,0.01425602008,641.0429077,0.01349458657
